"","AIANNHCE","AIANNHNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","COMPTYP","AIANNHR","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"100","4060","00235836","4060R","Susanville","Susanville Indian Rancheria","97","D8","R","F","G2101","A",4064367,0,"+40.4442259","-120.6444723"
"101","0705","00395231","0705R","Coeur d'Alene","Coeur d'Alene Reservation","86","D2","R","F","G2101","A",1356913278,32637291,"+47.2955236","-116.8257158"
"102","0265","01667416","0265R","Big Sandy","Big Sandy Rancheria","85","D2","R","F","G2101","A",1024247,0,"+37.0825531","-119.4641136"
"103","1380","01666180","1380R","Greenville","Greenville Rancheria","85","D2","R","F","G2101","A",284692,0,"+40.1487839","-120.8933989"
"104","2055","00647264","2055R","Lower Sioux","Lower Sioux Indian Community","95","D2","R","F","G2101","A",6822381,119250,"+44.5308483","-094.9905189"
"105","9240","02419024","9240R","MOWA Choctaw","MOWA Choctaw (state) Reservation","86","D4","R","S","G2101","A",2694225,0,"+31.1520676","-088.0534169"
"106","9230","01470191","9230R","Mattaponi","Mattaponi (state) Reservation","86","D4","R","S","G2101","A",279160,31696,"+37.6615027","-076.9151278"
"107","2415","02030138","2415R","Narragansett","Narragansett Reservation","86","D2","R","F","G2101","A",8325265,5485,"+41.4165483","-071.6743481"
"108","0275","00219277","0275R","Big Valley","Big Valley Rancheria","85","D2","R","F","G2101","A",482651,0,"+39.0203649","-122.8871413"
"109","2255","00228627","2255R","Middletown","Middletown Rancheria","85","D2","R","F","G2101","A",489059,0,"+38.7286756","-122.6258468"
"110","3195","00234577","3195R","Robinson","Robinson Rancheria","85","D8","R","F","G2101","A",725296,6661,"+39.1399222","-122.8806537"
"111","2175","01831784","2175R","Menominee","Menominee Reservation","86","D8","R","F","G2101","A",915505576,19032824,"+44.9913041","-088.6692512"
"112","2850","00573503","2850R","Pleasant Point","Pleasant Point Reservation","86","D2","R","F","G2101","A",1467673,1050202,"+44.9549298","-067.0430846"
"113","0750","02418877","0750R","Colusa","Colusa Rancheria","85","D2","R","F","G2101","A",1028551,0,"+39.2538648","-122.0240385"
"114","0780","00221603","0780R","Cortina","Cortina Indian Rancheria","97","D2","R","F","G2101","A",3077780,0,"+39.0182965","-122.2904112"
"115","3825","01525866","3825R","Skokomish","Skokomish Reservation","86","D2","R","F","G2101","A",21255704,570419,"+47.3333185","-123.1575681"
"116","3955","01508671","3955R","Squaxin Island","Squaxin Island Reservation","86","D8","R","F","G2101","A",6483657,0,"+47.1899402","-122.9109776"
"117","4625","00834982","4625R","Winnebago","Winnebago Reservation","86","D8","R","F","G2101","A",457887081,2944328,"+42.2256269","-096.5961019"
"118","2490","01637567","2490R","Northern Cheyenne","Northern Cheyenne Indian Reservation","96","D8","R","F","G2101","A",1805608171,346826,"+45.5507925","-106.6763832"
"119","3680","00649741","3680R","Shakopee Mdewakanton Sioux","Shakopee Mdewakanton Sioux Community","82","D8","R","F","G2101","A",1052669,0,"+44.7539009","-093.4526868"
"120","1260","02418940","1260R","Fort Pierce","Fort Pierce Reservation","86","D2","R","F","G2101","A",244943,0,"+27.4021028","-080.4348909"
